
=== Placas com data 20/06/2026 ===
Total de placas v├ílidas na planilha: 235
Com dados insuficientes: 0

=== ATEN├ç├âO: 4 placas t├¬m inspe├º├Áes duplicadas ===
DYC9G10: 2 inspe├º├Áes (LANCADO(NF:5835), EMITIDA(NF:5835))
EGP7854: 2 inspe├º├Áes (LANCADO(NF:5833), LANCADO(NF:5852))
BRY7J69: 2 inspe├º├Áes (LANCADO(NF:5827), LANCADO(NF:5827))
DYN6E82: 2 inspe├º├Áes (LANCADO(NF:5811), EMITIDA(NF:5811))

=== RESUMO DO BANCO ===
Emitidas/Lan├ºadas: 152
Erro: 0
Processando: 1
Fila: 82
Aguardando: 0
N├úo encontradas no banco: 0

--- Emitidas/Lan├ºadas ---
EPS5E68 | EMITIDA | NF: 5946 | Job: CONCLUIDO
BGD4B46 | EMITIDA | NF: 5947 | Job: CONCLUIDO
CQO5A42 | EMITIDA | NF: 5948 | Job: CONCLUIDO
EGN6E00 | EMITIDA | NF: 5949 | Job: CONCLUIDO
FKB0698 | EMITIDA | NF: 5950 | Job: CONCLUIDO
FQA4610 | EMITIDA | NF: 5951 | Job: CONCLUIDO
QPU1E42 | EMITIDA | NF: 5952 | Job: CONCLUIDO
CKH6D43 | EMITIDA | NF: 5953 | Job: CONCLUIDO
EPR0G93 | EMITIDA | NF: 5954 | Job: CONCLUIDO
DHF4H33 | EMITIDA | NF: 5955 | Job: CONCLUIDO
DCB6362 | EMITIDA | NF: 5956 | Job: CONCLUIDO
BPS2G80 | EMITIDA | NF: 5957 | Job: CONCLUIDO
FDE0G87 | EMITIDA | NF: 5958 | Job: CONCLUIDO
FSS9907 | EMITIDA | NF: 5959 | Job: CONCLUIDO
BZT1236 | EMITIDA | NF: 5960 | Job: CONCLUIDO
IIZ3733 | EMITIDA | NF: 5961 | Job: CONCLUIDO
EPS3402 | EMITIDA | NF: 5962 | Job: CONCLUIDO
FWP1F34 | EMITIDA | NF: 5963 | Job: CONCLUIDO
QQF1E75 | EMITIDA | NF: 5964 | Job: CONCLUIDO
GEJ7F70 | EMITIDA | NF: 5965 | Job: CONCLUIDO
EOB9B13 | EMITIDA | NF: 5966 | Job: CONCLUIDO
DHF4296 | EMITIDA | NF: 5967 | Job: CONCLUIDO
BSE3279 | EMITIDA | NF: 5968 | Job: CONCLUIDO
EPX7D03 | EMITIDA | NF: 5969 | Job: CONCLUIDO
BWN6J49 | EMITIDA | NF: 5970 | Job: CONCLUIDO
BGN7B65 | EMITIDA | NF: 5971 | Job: CONCLUIDO
DTD4A21 | EMITIDA | NF: 5972 | Job: CONCLUIDO
CHB6643 | EMITIDA | NF: 5973 | Job: CONCLUIDO
DKX8B08 | EMITIDA | NF: 5974 | Job: CONCLUIDO
DDY8D97 | EMITIDA | NF: 5975 | Job: CONCLUIDO
CQO9J69 | EMITIDA | NF: 5976 | Job: CONCLUIDO
BTQ0H37 | EMITIDA | NF: 5977 | Job: CONCLUIDO
CGC5A76 | EMITIDA | NF: 5978 | Job: CONCLUIDO
DBE4493 | EMITIDA | NF: 5979 | Job: CONCLUIDO
HJC6248 | EMITIDA | NF: 5980 | Job: CONCLUIDO
EOR3H52 | EMITIDA | NF: 5981 | Job: CONCLUIDO
TKB5G59 | EMITIDA | NF: 5982 | Job: CONCLUIDO
FSZ9A16 | EMITIDA | NF: 5983 | Job: CONCLUIDO
TMH3B92 | EMITIDA | NF: 5984 | Job: CONCLUIDO
EAF1185 | EMITIDA | NF: 5985 | Job: CONCLUIDO
ETU9849 | EMITIDA | NF: 5986 | Job: CONCLUIDO
FGN1938 | EMITIDA | NF: 6031 | Job: CONCLUIDO
FAA5E90 | EMITIDA | NF: 5987 | Job: CONCLUIDO
REZ9E39 | EMITIDA | NF: 5988 | Job: CONCLUIDO
EMD1907 | EMITIDA | NF: 5989 | Job: CONCLUIDO
FEB7I25 | EMITIDA | NF: 5990 | Job: CONCLUIDO
NFI4334 | EMITIDA | NF: 5991 | Job: CONCLUIDO
SWC8G49 | EMITIDA | NF: 5992 | Job: CONCLUIDO
DFY3540 | EMITIDA | NF: 5993 | Job: CONCLUIDO
CXK9F67 | EMITIDA | NF: 5994 | Job: CONCLUIDO
DGC3J98 | EMITIDA | NF: 5995 | Job: CONCLUIDO
GDO0F87 | EMITIDA | NF: 5996 | Job: CONCLUIDO
CEH7314 | EMITIDA | NF: 5997 | Job: CONCLUIDO
GIF1C02 | EMITIDA | NF: 5998 | Job: CONCLUIDO
